english,korean
americano,아메리카노
latte,라떼
cappuccino,카푸치노
espresso,에스프레소
vanilla,바닐라
mocha,모카
coldbrew,콜드브루
einspanner,아인슈페너
ade,에이드
smoothie,스무디
milktea,밀크티
tea,티
cheese,치즈
burger,버거
chicken,치킨
fried,후라이드
pizza,피자
pasta,파스타
carbonara,까르보나라
margherita,마르게리타
pepperoni,페퍼로니
gorgonzola,고르곤졸라
hawaiian,하와이안
risotto,리조또
sandwich,샌드위치
toast,토스트
hotdog,핫도그
waffle,와플
croffle,크로플
croissant,크루아상
bagel,베이글
donut,도넛
macaron,마카롱
tiramisu,티라미수
cake,케이크
strawberry,딸기
mango,망고
peach,복숭아
lemon,레몬
grapefruit,자몽
yogurt,요거트
choco,초코
chocolate,초코
greentea,녹차
sweetpotato,고구마
earlgrey,얼그레이
chamomile,캐모마일
yuzu,유자
udon,우동
ramen,라멘
gyudon,규동
shrimp,새우
garlic,마늘
soy,간장
tomato,토마토
cream,크림
rose,로제
tteokbokki,떡볶이
gimbap,김밥
bulgogi,불고기
